run	randomSeed	numHumans	numZombies	numHunters	gestationPeriod
915	-1536386923	100	5	5	50
917	-1536386892	100	5	10	10
919	-1536381751	100	10	1	5
921	-1536380767	100	10	1	50
923	-1536378845	100	10	5	10
925	-1536375470	100	10	10	5
927	-1536375360	100	10	10	50
929	-1536354470	100	15	1	10
931	-1536354360	100	15	5	5
933	-1536354001	100	15	5	50
935	-1536353939	100	15	10	10
937	-1536343954	100	20	1	5
939	-1536341642	100	20	1	50
941	-1536341564	100	20	5	10
943	-1536341314	100	20	10	5
945	-1536336564	100	20	10	50
947	-1536335439	10	1	1	10
949	-1536335345	10	1	5	5
951	-1536333251	10	1	5	50
953	-1536333126	10	1	10	10
955	-1536333048	10	5	1	5
957	-1536329704	10	5	1	50
959	-1536329673	10	5	5	10
961	-1536329579	10	5	10	5
963	-1536328204	10	5	10	50
965	-1536327892	10	10	1	10
967	-1536325626	10	10	5	5
969	-1536324923	10	10	5	50
971	-1536311173	10	10	10	10
973	-1536310142	10	15	1	5
975	-1536308501	10	15	1	50
977	-1536308407	10	15	5	10
979	-1536306001	10	15	10	5
981	-1536305876	10	15	10	50
983	-1536303079	10	20	1	10
985	-1536298751	10	20	5	5
987	-1536298204	10	20	5	50
989	-1536294360	10	20	10	10
991	-1536294157	50	1	1	5
993	-1536293235	50	1	1	50
995	-1536292610	50	1	5	10
997	-1536292501	50	1	10	5
999	-1536292423	50	1	10	50
1001	-1536292360	50	5	1	10
1003	-1536292282	50	5	5	5
1005	-1536288220	50	5	5	50
1007	-1536285751	50	5	10	10
1009	-1536285704	50	10	1	5
1011	-1536284142	50	10	1	50
1013	-1536283532	50	10	5	10
1015	-1536283423	50	10	10	5
1017	-1536277423	50	10	10	50
1019	-1536277329	50	15	1	10
1021	-1536271860	50	15	5	5
1023	-1536269673	50	15	5	50
1025	-1536269532	50	15	10	10
1027	-1536268720	50	20	1	5
1029	-1536268642	50	20	1	50
1031	-1536268204	50	20	5	10
1033	-1536264985	50	20	10	5
1035	-1536264891	50	20	10	50
1037	-1536264751	100	1	1	10
1039	-1536262579	100	1	5	5
1041	-1536259657	100	1	5	50
1043	-1536259579	100	1	10	10
1045	-1536259360	100	5	1	5
1047	-1536259235	100	5	1	50
1049	-1536251595	100	5	5	10
1051	-1536251407	100	5	10	5
1053	-1536251235	100	5	10	50
1055	-1536251063	100	10	1	10
1057	-1536245907	100	10	5	5
1059	-1536242141	100	10	5	50
1061	-1536242032	100	10	10	10
1063	-1536241204	100	15	1	5
1065	-1536238095	100	15	1	50
1067	-1536235032	100	15	5	10
1069	-1536234891	100	15	10	5
1071	-1536234813	100	15	10	50
1073	-1536234751	100	20	1	10
1075	-1536232095	100	20	5	5
1077	-1536232001	100	20	5	50
1079	-1536230970	100	20	10	10
1081	-1536230907	10	1	1	5
1083	-1536155485	10	1	1	50
1085	-1536152219	10	1	5	10
1087	-1536149032	10	1	10	5
1089	-1536147532	10	1	10	50
1091	-1536147423	10	5	1	10
1093	-1536143016	10	5	5	5
1095	-1536142907	10	5	5	50
1097	-1536142813	10	5	10	10
1099	-1536141563	10	10	1	5
1101	-1536141141	10	10	1	50
1103	-1536136126	10	10	5	10
1105	-1536134907	10	10	10	5
1107	-1536134657	10	10	10	50
1109	-1536134469	10	15	1	10
1111	-1536134360	10	15	5	5
1113	-1536134266	10	15	5	50
1115	-1536131344	10	15	10	10
1117	-1536128438	10	20	1	5
1119	-1536128391	10	20	1	50
1121	-1536125907	10	20	5	10
1123	-1536125860	10	20	10	5
1125	-1536120219	10	20	10	50
1127	-1536117313	50	1	1	10
1129	-1536115454	50	1	5	5
1131	-1536115282	50	1	5	50
1133	-1536106219	50	1	10	10
1135	-1536106126	50	5	1	5
1137	-1536105891	50	5	1	50
1139	-1536103626	50	5	5	10
1141	-1536103547	50	5	10	5
1143	-1536103376	50	5	10	50
1145	-1536103235	50	10	1	10
1147	-1536103126	50	10	5	5
1149	-1536099547	50	10	5	50
1151	-1536099141	50	10	10	10
1153	-1536095922	50	15	1	5
1155	-1536095344	50	15	1	50
1157	-1536091626	50	15	5	10
1159	-1536087360	50	15	10	5
1161	-1536087251	50	15	10	50
1163	-1536087047	50	20	1	10
1165	-1536086110	50	20	5	5
1167	-1536085501	50	20	5	50
1169	-1536085329	50	20	10	10
1171	-1536085266	100	1	1	5
1173	-1536082251	100	1	1	50
1175	-1536076063	100	1	5	10
1177	-1536071547	100	1	10	5
1179	-1536066907	100	1	10	50
1181	-1536063829	100	5	1	10
1183	-1536060016	100	5	5	5
1185	-1536058063	100	5	5	50
1187	-1536054813	100	5	10	10
1189	-1536053032	100	10	1	5
1191	-1536052938	100	10	1	50
1193	-1536049422	100	10	5	10
1195	-1536049375	100	10	10	5
1197	-1536045579	100	10	10	50
1199	-1536043000	100	15	1	10
1201	-1536042266	100	15	5	5
1203	-1536039922	100	15	5	50
1205	-1536038235	100	15	10	10
1207	-1536037969	100	20	1	5
1209	-1536033641	100	20	1	50
1211	-1536030829	100	20	5	10
1213	-1536030032	100	20	10	5
1215	-1536029563	100	20	10	50
1217	-1536029485	10	1	1	10
1219	-1536029047	10	1	5	5
1221	-1536026375	10	1	5	50
1223	-1536026266	10	1	10	10
1225	-1536024125	10	5	1	5
1227	-1536022469	10	5	1	50
1229	-1536021813	10	5	5	10
1231	-1536020125	10	5	10	5
1233	-1536017125	10	5	10	50
1235	-1536017047	10	10	1	10
1237	-1536014110	10	10	5	5
1239	-1536010875	10	10	5	50
1241	-1535993172	10	10	10	10
1243	-1535993047	10	15	1	5
1245	-1535990922	10	15	1	50
1247	-1535987016	10	15	5	10
1249	-1535984125	10	15	10	5
1251	-1535979829	10	15	10	50
1253	-1535951297	10	20	1	10
1255	-1535951156	10	20	5	5
1257	-1535948219	10	20	5	50
1259	-1535948031	10	20	10	10
1261	-1535944078	50	1	1	5
1263	-1535940593	50	1	1	50
1265	-1535935093	50	1	5	10
1267	-1535933812	50	1	10	5
1269	-1535931687	50	1	10	50
1271	-1535931577	50	5	1	10
1273	-1535931515	50	5	5	5
1275	-1535930030	50	5	5	50
1277	-1535929952	50	5	10	10
1279	-1535916342	50	10	1	5
1281	-1535914217	50	10	1	50
1283	-1535913920	50	10	5	10
1285	-1535913811	50	10	10	5
1287	-1535913701	50	10	10	50
1289	-1535912217	50	15	1	10
1291	-1535907920	50	15	5	5
1293	-1535907670	50	15	5	50
1295	-1535907545	50	15	10	10
1297	-1535905748	50	20	1	5
1299	-1535905623	50	20	1	50
1301	-1535905513	50	20	5	10
1303	-1535905404	50	20	10	5
1305	-1535899966	50	20	10	50
1307	-1535897247	100	1	1	10
1309	-1535896872	100	1	5	5
1311	-1535878434	100	1	5	50
1313	-1535855417	100	1	10	10
1315	-1535852433	100	5	1	5
1317	-1535852355	100	5	1	50
1319	-1535850151	100	5	5	10
1321	-1535848198	100	5	10	5
1323	-1535845526	100	5	10	50
1325	-1535842839	100	10	1	10
1327	-1535839104	100	10	5	5
1329	-1535837432	100	10	5	50
1331	-1535832463	100	10	10	10
1333	-1535832244	100	15	1	5
1335	-1535830401	100	15	1	50
1337	-1535827322	100	15	5	10
1339	-1535827291	100	15	10	5
1341	-1535827182	100	15	10	50
1343	-1535826135	100	20	1	10
1345	-1535826025	100	20	5	5
1347	-1535820400	100	20	5	50
1349	-1535818525	100	20	10	10
1351	-1535816290	10	1	1	5
1353	-1535815447	10	1	1	50
1355	-1535813181	10	1	5	10
1357	-1535812603	10	1	10	5
1359	-1535812493	10	1	10	50
1361	-1535808525	10	5	1	10
1363	-1535804274	10	5	5	5
1365	-1535799946	10	5	5	50
1367	-1535795680	10	5	10	10
1369	-1535791258	10	10	1	5
