"run","tick","HumanitySaved"
1837,199.0,"true"
1839,162.0,"true"
1841,1685.0,"true"
1843,221.0,"true"
1845,4525.0,"false"
1847,96.0,"true"
1849,2312.0,"false"
1851,89.0,"true"
1853,1034.0,"true"
1855,1251.0,"true"
1857,3235.0,"false"
1859,872.0,"true"
1861,2399.0,"true"
1863,521.0,"true"
1865,270.0,"true"
1867,1784.0,"true"
1869,1118.0,"true"
1871,2648.0,"false"
1873,752.0,"true"
1875,1339.0,"false"
1877,201.0,"true"
1879,2576.0,"true"
1881,171.0,"true"
1883,1287.0,"true"
1885,2193.0,"true"
1887,321.0,"true"
1889,1152.0,"true"
1891,228.0,"true"
1893,1661.0,"false"
1895,1463.0,"true"
1897,1836.0,"true"
1899,611.0,"true"
1901,2322.0,"false"
1903,121.0,"true"
1905,132.0,"true"
1907,891.0,"true"
1909,187.0,"true"
1911,138.0,"true"
1913,2215.0,"false"
1915,165.0,"true"
1917,145.0,"true"
1919,1104.0,"true"
1921,1630.0,"false"
1923,3778.0,"false"
1925,1859.0,"false"
1927,2048.0,"false"
1929,1210.0,"true"
1931,128.0,"true"
1933,87.0,"true"
1935,1231.0,"true"
1937,273.0,"true"
1939,108.0,"true"
1941,1915.0,"false"
1943,1710.0,"false"
1945,155.0,"true"
1947,2461.0,"false"
1949,2503.0,"true"
1951,405.0,"true"
1953,278.0,"true"
1955,267.0,"true"
1957,499.0,"true"
1959,264.0,"true"
1961,1799.0,"false"
1963,153.0,"true"
1965,3245.0,"false"
1967,1254.0,"true"
1969,96.0,"true"
1971,2453.0,"false"
1973,861.0,"true"
1975,2364.0,"false"
1977,1974.0,"false"
1979,123.0,"true"
1981,284.0,"true"
1983,329.0,"true"
1985,140.0,"true"
1987,242.0,"true"
1989,2772.0,"false"
1991,958.0,"true"
1993,549.0,"true"
1995,172.0,"true"
1997,1978.0,"true"
1999,2494.0,"false"
2001,184.0,"true"
2003,407.0,"true"
2005,1212.0,"true"
2007,1282.0,"true"
2009,163.0,"true"
2011,183.0,"true"
2013,176.0,"true"
2015,104.0,"true"
2017,894.0,"true"
2019,705.0,"true"
2021,1992.0,"false"
2023,188.0,"true"
2025,163.0,"true"
2027,203.0,"true"
2029,1910.0,"false"
2031,3702.0,"false"
2033,695.0,"true"
2035,238.0,"true"
2037,248.0,"true"
2039,1907.0,"true"
2041,766.0,"true"
2043,229.0,"true"
2045,2687.0,"false"
2047,2112.0,"true"
2049,2487.0,"false"
2051,1622.0,"false"
2053,1944.0,"false"
2055,346.0,"true"
2057,2407.0,"true"
2059,2214.0,"false"
2061,1585.0,"false"
2063,1732.0,"false"
2065,1664.0,"true"
2067,1218.0,"true"
2069,231.0,"true"
2071,1617.0,"true"
2073,2415.0,"true"
2075,887.0,"true"
2077,781.0,"true"
2079,339.0,"true"
2081,245.0,"true"
2083,141.0,"true"
2085,1651.0,"true"
2087,2626.0,"false"
2089,359.0,"true"
2091,1365.0,"true"
2093,1929.0,"true"
2095,1136.0,"true"
2097,507.0,"true"
2099,1037.0,"true"
2101,134.0,"true"
2103,2141.0,"true"
2105,2193.0,"false"
2107,1968.0,"true"
2109,1266.0,"true"
2111,1596.0,"true"
2113,1037.0,"true"
2115,6664.0,"false"
2117,2384.0,"true"
2119,2316.0,"true"
2121,162.0,"true"
2123,83.0,"true"
2125,804.0,"true"
2127,240.0,"true"
2129,223.0,"true"
2131,2266.0,"false"
2133,199.0,"true"
2135,161.0,"true"
2137,217.0,"true"
2139,2602.0,"false"
2141,2871.0,"false"
2143,900.0,"true"
2145,1605.0,"false"
2147,174.0,"true"
2149,1633.0,"true"
2151,2292.0,"false"
2153,1174.0,"true"
2155,2596.0,"false"
2157,1731.0,"true"
2159,2768.0,"false"
2161,2514.0,"false"
2163,1263.0,"true"
2165,1751.0,"true"
2167,681.0,"true"
2169,979.0,"true"
2171,1765.0,"false"
2173,111.0,"true"
2175,766.0,"true"
2177,974.0,"true"
2179,554.0,"true"
2181,3122.0,"false"
2183,350.0,"true"
2185,581.0,"true"
2187,310.0,"true"
2189,1945.0,"true"
2191,202.0,"true"
2193,650.0,"true"
2195,1815.0,"false"
2197,2084.0,"false"
2199,672.0,"true"
2201,2387.0,"false"
2203,1405.0,"true"
2205,421.0,"true"
2207,192.0,"true"
2209,664.0,"true"
2211,183.0,"true"
2213,1977.0,"false"
2215,1063.0,"true"
2217,193.0,"true"
2219,171.0,"true"
2221,237.0,"true"
2223,770.0,"true"
2225,151.0,"true"
2227,291.0,"true"
2229,1518.0,"true"
2231,216.0,"true"
2233,1260.0,"true"
2235,181.0,"true"
2237,308.0,"true"
2239,2157.0,"false"
2241,1900.0,"false"
2243,1930.0,"false"
2245,126.0,"true"
2247,1830.0,"true"
2249,211.0,"true"
2251,197.0,"true"
2253,668.0,"true"
2255,3526.0,"false"
2257,1791.0,"false"
2259,173.0,"true"
2261,294.0,"true"
2263,2225.0,"false"
2265,256.0,"true"
2267,1324.0,"true"
2269,1565.0,"false"
2271,843.0,"true"
2273,1034.0,"true"
2275,3889.0,"false"
2277,813.0,"true"
2279,1449.0,"true"
2281,1710.0,"true"
2283,226.0,"true"
2285,1575.0,"false"
2287,2577.0,"false"
2289,3066.0,"false"
2291,290.0,"true"
2293,480.0,"true"
2295,1091.0,"true"
2297,973.0,"true"
2299,1711.0,"false"
2301,914.0,"true"
2303,209.0,"true"
2305,1204.0,"true"
2307,1046.0,"true"
2309,2391.0,"false"
2311,1214.0,"true"
2313,1213.0,"true"
2315,173.0,"true"
2317,2010.0,"false"
2319,1298.0,"true"
2321,2222.0,"false"
2323,130.0,"true"
2325,2462.0,"true"
2327,170.0,"true"
2329,329.0,"true"
2331,68.0,"true"
2333,718.0,"true"
2335,204.0,"true"
2337,251.0,"true"
2339,131.0,"true"
2341,1888.0,"true"
2343,2366.0,"false"
2345,1408.0,"true"
2347,3883.0,"false"
2349,544.0,"true"
2351,1609.0,"false"
2353,96.0,"true"
2355,579.0,"true"
2357,1843.0,"false"
2359,1946.0,"false"
2361,1653.0,"true"
2363,910.0,"true"
2365,930.0,"true"
2367,499.0,"true"
2369,1692.0,"true"
2371,1678.0,"false"
2373,293.0,"true"
2375,1423.0,"true"
2377,1439.0,"true"
2379,1313.0,"true"
2381,61.0,"true"
2383,2882.0,"false"
2385,296.0,"true"
2387,608.0,"true"
2389,3719.0,"false"
2391,1924.0,"false"
2393,203.0,"true"
2395,750.0,"true"
2397,1351.0,"true"
2399,1770.0,"true"
2401,304.0,"true"
2403,364.0,"true"
2405,1221.0,"true"
2407,246.0,"true"
2409,1243.0,"true"
2411,160.0,"true"
2413,1462.0,"true"
2415,152.0,"true"
2417,1030.0,"true"
2419,515.0,"true"
2421,2543.0,"true"
2423,2405.0,"false"
2425,368.0,"true"
2427,2218.0,"false"
2429,1978.0,"true"
2431,2413.0,"false"
2433,1343.0,"true"
2435,353.0,"true"
2437,229.0,"true"
2439,230.0,"true"
2441,144.0,"true"
2443,660.0,"true"
2445,187.0,"true"
2447,1310.0,"true"
2449,1634.0,"false"
2451,1501.0,"true"
2453,2054.0,"true"
2455,153.0,"true"
2457,2550.0,"false"
2459,121.0,"true"
2461,497.0,"true"
2463,2186.0,"false"
2465,505.0,"true"
2467,2889.0,"false"
2469,2986.0,"true"
2471,6871.0,"false"
2473,137.0,"true"
2475,1197.0,"true"
2477,1760.0,"false"
2479,1631.0,"true"
2481,1753.0,"true"
2483,996.0,"true"
2485,1808.0,"false"
2487,639.0,"true"
2489,1543.0,"true"
2491,1720.0,"false"
2493,165.0,"true"
2495,1164.0,"true"
2497,163.0,"true"
2499,1701.0,"true"
2501,707.0,"true"
2503,198.0,"true"
2505,1087.0,"true"
